0,1,1
1,2,1
2,3,1
3,4,1
4,5,1
5,6,1
6,7,1
7,8,1
8,9,1
9,10,1
10,11,1
11,12,1
12,13,1
13,14,1
14,15,1
15,16,1
16,17,1
17,18,1
18,19,1
19,20,1
20,21,1
21,22,1
22,23,1
23,24,1
24,25,1
25,26,1
26,27,1
27,28,1
28,29,1
29,30,1
30,31,1
31,32,1
32,33,1
33,34,1
34,35,1
35,36,1
36,37,1
37,38,1
38,39,1
39,40,1
40,41,1
41,42,1
42,43,1
43,44,1
44,45,1
45,46,1
46,47,1
47,48,1
48,49,1
49,50,1
50,0,2
45,5,16
28,20,28
5,34,11
38,50,7
50,27,29
2,30,11
28,18,16
29,23,15
12,40,26
42,34,22
48,34,14
20,25,25
10,10,29
4,47,8
27,15,18
48,2,12
4,48,4
10,35,19
13,6,10
43,49,5
15,38,4
26,44,3
37,11,27
39,42,29
12,18,24
21,10,29
0,36,4
5,33,3
47,45,29
16,22,25
8,14,4
10,49,26
17,49,9
15,32,24
13,24,20
6,28,6
31,18,4
24,37,22
26,33,27
44,44,1
38,12,5
29,44,15
47,14,5
26,38,13
27,18,2
34,5,24
43,18,22
19,12,25
42,46,6
42,33,17
21,47,28
38,49,5
23,32,28
35,1,17
25,21,26
25,25,3
31,22,29
8,19,12
42,25,14
27,24,2
30,16,24
48,26,29
4,39,28
19,37,28
10,37,3
27,11,5
25,44,17
14,4,21
16,41,26
14,14,12
15,41,17
31,41,13
41,27,29
34,33,19
47,20,27
49,22,11
16,4,18
7,18,8
11,19,8
8,11,22
11,45,25
13,5,29
3,50,3
17,40,2
12,49,8
41,37,10
42,16,3
30,33,30
1,17,12
48,33,28
46,1,15
19,46,27
1,35,28
49,9,26
3,23,22
49,33,2
27,8,18
22,12,17
43,33,22
48,30,30
11,32,30
24,19,27
34,11,3
19,24,14
40,19,20
41,33,19
43,45,2
31,45,19
17,47,30
31,21,5
2,26,27
33,13,9
6,38,21
37,6,28
24,7,29
37,13,1
46,32,30
13,43,20
6,15,29
28,39,2
18,24,2
23,18,19
3,46,22
6,13,23
45,41,4
19,3,15
23,31,11
27,2,14
22,16,7
30,45,10
46,39,7
20,28,25
9,49,19
38,45,15
21,44,27
34,44,25
4,25,15
33,15,4
42,5,21
12,14,30
3,33,19
14,32,30
27,43,8
49,37,6
41,10,6
49,44,28
4,36,6
2,5,22
16,50,17
21,38,23
39,29,29
20,48,1
37,29,18
14,0,5
34,42,2
2,21,19
37,17,3
43,35,18
36,30,29
28,37,29
27,1,21
5,8,11
11,37,23
25,20,23
26,20,14
12,21,30
20,19,29
46,46,28
43,36,11
43,14,28
50,9,21
34,45,21
32,3,25
27,17,8
39,2,7
9,7,20
20,7,5
46,29,3
12,25,20
46,34,24
1,45,13
39,28,19
2,2,8
12,12,14
35,46,18
39,30,28
48,22,23
5,28,28
15,29,24
44,13,12
13,47,19
1,25,11
8,18,13
26,14,28
34,22,12
37,50,23
35,40,15
2,44,12
47,19,5
30,40,19
21,14,12
30,4,3
43,42,9
7,22,23
29,11,29
25,29,8
46,28,26
8,13,30
38,22,27
22,4,5
24,28,29
50,4,24
48,45,29
2,38,23
20,8,24
49,36,21
28,0,12
17,21,21
8,15,22
12,43,7
6,35,29
20,15,8
32,25,2
13,11,20
36,28,1
38,13,5
12,27,6
40,23,11
17,0,13
4,38,4
32,24,4
36,14,3
12,38,24
37,39,7
42,22,27
1,1,3
22,41,12
39,37,10
42,20,8
41,35,28
19,16,29
46,11,24
11,16,6
8,37,6
43,34,7
48,21,20
11,48,14
17,31,1
44,46,13
18,15,1
35,48,28
39,24,24
46,43,5
9,29,5
29,43,17
36,41,13
22,22,24
21,13,20
47,33,3
24,1,28
24,42,24
19,7,12
47,24,27
44,43,22
47,47,20
0,32,17
0,24,14
44,47,26
29,33,11
14,2,12
32,42,21
8,23,21
33,35,22
32,5,17
26,11,8
36,8,20
41,4,6
26,8,4
34,46,14
45,35,26
47,13,19
21,48,22
46,31,13
17,32,28
23,49,17
15,10,7
17,16,28
43,38,15
16,35,22
8,24,10
47,12,7
22,29,9
17,10,23
47,35,19
13,46,6
24,23,1
27,47,26
33,33,13
46,35,8
37,48,10
10,33,3
18,0,30
43,11,8
1,50,2
20,30,10
4,10,7
42,8,21
6,18,6
17,38,17
30,39,20
4,0,3
50,50,23
8,2,19
42,13,24
18,10,21
47,38,17
25,2,9
38,21,21
23,1,6
16,21,7
21,32,18
47,1,3
0,30,15
36,39,12
6,17,25
45,30,13
14,44,11
2,18,20
36,49,19
23,13,17
34,18,20
45,47,16
36,3,30
43,24,2
16,11,19
6,48,6
29,6,12
39,34,25
37,16,29
44,16,14
41,18,7
24,27,16
9,24,2
10,18,29
12,42,2
1,26,27
14,30,14
36,36,4
0,33,17
23,34,21
28,16,17
37,42,21
8,21,8
45,20,23
42,39,16
50,43,7
8,4,11
27,30,30
25,39,22
9,47,18
18,9,26
7,34,13
44,21,12
49,19,7
44,28,21
33,41,23
43,12,8
15,40,28
25,41,1
40,7,8
12,22,5
37,21,26
37,10,21
37,12,14
43,4,15
17,9,15
34,30,7
16,10,10
0,3,6
3,20,5
4,44,1
15,0,23
38,40,2
0,44,22
12,36,20
42,21,4
21,24,17
34,13,13
23,47,22
27,4,30
47,2,7
44,36,13
